,Cell,Gene,Kruskal,FCCorr,ProfCorr,CellCorr,Ratio,Total
11165,gi_epithelial,ASB13,0,0,1,0,0,1
11166,myofibroblasts,ATP1B2,0,0,0,0,0,0
11167,cd8_Tcells,ATP1B2,0,0,1,0,1,2
11168,myofibroblasts,ATP6V1D,1,1,1,1,0,4
11169,monocytes_macs_DCs,ATP6V1D,1,1,0,0,0,2
11170,myofibroblasts,AZIN1,1,1,1,1,0,4
11171,gi_epithelial,AZIN1,1,1,1,1,0,4
11172,myofibroblasts,BAMBI,0,1,1,1,0,3
11173,stromal,BAMBI,0,1,0,1,1,3
11174,B_cells,ST6GALNAC4,1,0,1,0,0,2
11175,gi_epithelial,ST6GALNAC4,1,0,1,1,0,3
11176,B_cells,ST6GAL1,1,0,1,0,0,2
11177,endothelial,ST6GAL1,1,0,0,1,0,2
11178,gi_epithelial,PSIP1,1,0,1,1,0,3
11179,neuroendocrine,PSIP1,1,0,0,0,0,1
11180,B_cells,SRM,1,0,1,0,0,2
11181,cd8_Tcells,SRM,1,1,1,1,0,4
11182,gi_epithelial,PTPN6,1,0,1,1,0,3
11183,cd8_Tcells,PTPN6,1,0,1,1,0,3
11184,B_cells,POU2AF1,1,0,0,0,0,1
11185,gi_epithelial,POU2AF1,1,0,1,0,0,2
11186,gi_epithelial,PTPN22,1,0,1,1,1,4
11187,cd8_Tcells,PTPN22,1,0,0,0,0,1
11188,gi_epithelial,RNF212,0,0,1,0,0,1
11189,neuroendocrine,RNF212,0,0,0,0,0,0
11190,gi_epithelial,RNF217,1,0,0,0,0,1
11191,neuroendocrine,RNF217,1,0,0,0,0,1
11192,B_cells,PRDX2,0,0,0,0,0,0
11193,gi_epithelial,PRDX2,0,0,1,0,0,1
11194,B_cells,PRKCSH,1,1,1,1,0,4
11195,gi_epithelial,PRKCSH,1,0,1,0,0,2
11196,B_cells,PRMT1,1,0,1,1,0,3
11197,gi_epithelial,PRMT1,1,0,1,0,0,2
11198,B_cells,PRR5,1,0,1,0,0,2
11199,endothelial,PRR5,1,0,1,1,0,3
11200,B_cells,PRRC1,1,0,1,1,0,3
11201,gi_epithelial,PRRC1,1,0,1,0,0,2
11202,B_cells,PSAT1,0,0,1,0,0,1
11203,gi_epithelial,PSAT1,0,0,1,1,0,2
11204,B_cells,PSMC3,1,1,1,1,0,4
11205,cd8_Tcells,PSMC3,1,1,1,1,0,4
